City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Shingu,JP,33.7333,135.9833,60.67,91,100,3.6,overcast clouds
177,Hamilton,US,39.1834,-84.5333,64.62,75,75,11.5,broken clouds
178,Pavlohrad,UA,48.5167,35.8667,46.8,60,99,10.6,overcast clouds
179,Georgetown,MY,5.4112,100.3354,82.33,93,20,2.3,light rain
180,Saint George,US,37.1041,-113.5841,84.79,17,0,4.61,clear sky
181,Marawi,PH,7.9986,124.2928,68.95,94,43,1.54,scattered clouds
182,Pevek,RU,69.7008,170.3133,25.09,94,98,7.18,overcast clouds
183,Panama City,PA,8.9936,-79.5197,78.3,91,75,9.22,broken clouds
184,Victoria,HK,22.2855,114.1577,76.17,82,2,5.99,clear sky
185,Tuy Hoa,VN,13.0833,109.3,75.65,93,100,4.14,overcast clouds
186,Nueve De Julio,AR,-35.4444,-60.8831,70.39,36,85,6.69,overcast clouds
187,Phetchaburi,TH,12.9667,99.5833,74.55,90,71,1.39,light rain
188,Narasannapeta,IN,18.4167,84.05,81.23,84,47,5.17,scattered clouds
189,Dzerzhinskoye,RU,56.8344,95.2283,39.43,63,100,4.85,overcast clouds
190,Haines Junction,CA,60.7522,-137.5108,46.35,39,100,8.05,overcast clouds
191,Karratha,AU,-20.7377,116.8463,74.61,38,0,16.6,clear sky
192,Bilma,NE,18.6853,12.9164,95.07,11,0,7.27,clear sky
193,Ilulissat,GL,69.2167,-51.1,24.82,50,0,9.22,clear sky
194,Egvekinot,RU,66.3167,-179.1667,15.8,82,64,1.19,broken clouds
195,Narsingi,IN,18.0333,78.4333,85.35,40,36,8.28,scattered clouds
196,Tigre,AR,-34.426,-58.5796,71.74,58,0,5.75,clear sky
197,Hami,CN,42.8,93.45,73.31,25,92,5.97,overcast clouds
198,Kandrian,PG,-6.2167,149.55,77.16,89,81,2.86,light rain
199,Kaitangata,NZ,-46.2817,169.8464,53.87,79,100,4.0,overcast clouds
200,Saint-Denis,FR,48.9167,2.3333,61.57,63,100,9.22,overcast clouds
201,Colares,PT,38.7992,-9.4469,66.78,55,0,14.97,clear sky
202,Araouane,ML,18.9048,-3.5265,93.47,19,100,5.73,overcast clouds
203,Chipinge,ZW,-20.1883,32.6236,56.61,78,3,1.68,clear sky
204,Iberia,US,29.9502,-91.7507,84.2,65,75,21.85,broken clouds
205,Beihai,CN,21.4833,109.1,75.02,87,6,7.76,clear sky
206,Ballina,AU,-28.8667,153.5667,69.01,100,100,0.0,light rain
207,Pyshma,RU,56.9523,63.2513,48.33,84,94,16.31,light rain
208,East London,ZA,-33.0153,27.9116,71.6,51,0,6.87,clear sky
209,Bergen,NO,60.392,5.328,49.15,79,75,10.36,light rain
210,Loei,TH,17.4167,101.5,66.79,75,12,1.68,few clouds
211,Male,MV,4.1748,73.5089,84.15,84,100,11.5,overcast clouds
212,Tarko-Sale,RU,64.9225,77.785,14.05,92,27,5.06,scattered clouds
213,Kotaparh,IN,19.15,82.35,80.8,49,69,6.89,broken clouds
214,Ancud,CL,-41.8697,-73.8203,54.23,91,98,13.78,overcast clouds
215,Betioky,MG,-23.7167,44.3833,72.41,64,0,9.35,clear sky
216,Joshimath,IN,30.5667,79.5667,60.15,78,90,1.14,overcast clouds
217,Novoagansk,RU,61.9449,76.6625,31.75,92,100,8.93,overcast clouds
218,Linhares,BR,-19.3911,-40.0722,81.81,71,33,11.45,scattered clouds
219,Atuona,PF,-9.8,-139.0333,78.57,76,100,13.09,overcast clouds
220,Shaunavon,CA,49.6501,-108.4181,73.18,31,100,17.6,overcast clouds
221,Luderitz,NA,-26.6481,15.1594,62.37,67,0,5.99,clear sky
222,Paita,PE,-5.0892,-81.1144,70.68,74,96,15.1,overcast clouds
223,Camana,PE,-16.6228,-72.7111,69.51,79,11,7.52,few clouds
224,Laredo,US,27.5064,-99.5075,89.89,58,40,8.05,scattered clouds
225,Linxia,CN,35.6003,103.2064,60.26,39,5,3.51,clear sky
226,Vardo,NO,70.3705,31.1107,35.58,69,0,23.02,clear sky
227,Kidal,ML,18.4411,1.4078,94.84,11,100,10.25,overcast clouds
228,Tiznit,MA,29.5833,-9.5,68.05,45,100,3.29,overcast clouds
229,Tarata,BO,-17.6167,-66.0167,80.02,18,0,5.14,clear sky
230,Mbandaka,CD,0.0487,18.2603,70.45,95,100,4.38,overcast clouds
231,Varhaug,NO,58.6147,5.6457,48.85,85,100,0.69,overcast clouds
232,Huarmey,PE,-10.0681,-78.1522,70.86,75,56,10.2,broken clouds
233,Taoudenni,ML,22.6783,-3.9836,94.33,10,36,10.16,scattered clouds
234,Lasem,ID,-6.6922,111.4527,77.47,87,31,4.43,scattered clouds
235,Paamiut,GL,61.994,-49.6678,32.63,79,100,3.27,overcast clouds
236,Uglovskoye,RU,51.3557,80.1942,52.84,30,68,4.16,broken clouds
